MIXS ID	Structured comment name	Item	Expected value	Value syntax	Occurrence	Preferred unit	Definition
MIXS:0000322	sieving	composite design/sieving	design name and/or size;amount	{{text}|{float} {unit}};{float} {unit}	1		Collection design of pooled samples and/or sieve size and amount of sample sieved
MIXS:0000021	ploidy	ploidy	PATO	{termLabel} {[termID]}	1		The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v 2018-03-27) please refer to http://purl.bioontology.org/ontology/PATO
MIXS:0000321	horizon_meth	soil horizon method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining the horizon
MIXS:0001170	spikein_strain	spike-in microbial strain	NCIT:C14250 or NCBI taxid or text	{termLabel} {[termID]}|{integer}	m		Taxonomic information about the spike-in organism(s) at the strain level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.
MIXS:0000874	host_phenotype	host phenotype	PATO or HP	{text};{termLabel} {[termID]}	1		Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP
MIXS:0000056	assembly_qual	assembly quality	enumeration	[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]	1		The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG;Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG;Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling ≥ 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated
MIXS:0000998	samp_type	sample type (host or environmental context)	GENEPIO:0001246	{termLabel} {[termID]}	1		The type of material from which the sample was obtained. For the Hydrocarbon package, samples include types like core, rock trimmings, drill cuttings, piping section, coupon, pigging debris, solid deposit, produced fluid, produced water, injected water, swabs, etc. For the Food Package, samples are usually categorized as food, body products or tissues, or environmental material. This field accepts terms listed under environmental specimen (http://purl.obolibrary.org/obo/GENEPIO_0001246).
MIXS:0001135	food_preserv_proc	food preservation process	FOODON:03470107	{text}|{termLabel} {[termID]}	m		The methods contributing to the prevention or retardation of microbial, enzymatic or oxidative spoilage and thus to the extension of shelf life. This field accepts terms listed under food preservation process (http://purl.obolibrary.org/obo/FOODON_03470107).
MIXS:0000829	season	season	autumn [NCIT:C94733], spring [NCIT:C94731], summer [NCIT:C94732], winter [NCIT:C94730]	{termLabel} {[termID]}	1		The season when sampling occurred. Any of the four periods into which the year is divided by the equinoxes and solstices. This field accepts terms listed under season (http://purl.obolibrary.org/obo/NCIT_C94729).
MIXS:0001168	spikein_serovar	spike-in bacterial serovar or serotype	NCIT:C14250 or antigenic formula or serovar name	{termLabel} {[termID]}|{integer}	m		Taxonomic information about the spike-in organism(s) at the serovar or serotype level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.
