Environmental package	Structured comment name	Definition	Expected value	Value syntax	Example	Preferred unit	Occurrence	MIXS ID	Item
soil	samp_name	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.	text	{text}	ISDsoil1		1	MIXS:0001107	sample name 
soil	project_name	Name of the project within which the sequencing was organized.	text	{text}	Forest soil metagenome		1	MIXS:0000092	project name
soil	depth	The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	measurement value	{float} {unit}	10 meter	meter	1	MIXS:0000018	depth
soil	elev	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter	meter	1	MIXS:0000093	elevation
soil	cur_land_use	Present state of sample site	enumeration	[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]	conifers		1	MIXS:0001080	current land use
soil	cur_vegetation	Vegetation classification from one or more standard classification systems, or agricultural crop	current vegetation type	{text}			1	MIXS:0000312	current vegetation
soil	cur_vegetation_meth	Reference or method used in vegetation classification	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000314	current vegetation method
soil	previous_land_use	Previous land use and dates	land use name;date	{text};{timestamp}			1	MIXS:0000315	history/previous land use
soil	prev_land_use_meth	Reference or method used in determining previous land use and dates	PMID,DOI or url	{PMID}|{DOI}|{URL}			1	MIXS:0000316	history/previous land use method
soil	crop_rotation	Whether or not crop is rotated, and if yes, rotation schedule	crop rotation status;schedule	{boolean};{Rn/start_time/end_time/duration}	yes;R2/2017-01-01/2018-12-31/P6M		1	MIXS:0000318	history/crop rotation
