slot	class	mixs_requirement_value	recommended	required
> slot	class	ignore	recommended	required
samp_name	MigsBa	M		True
samp_taxon_id	MigsBa	M		True
project_name	MigsBa	M		True
lat_lon	MigsBa	M		True
geo_loc_name	MigsBa	M		True
collection_date	MigsBa	M		True
env_broad_scale	MigsBa	M		True
env_local_scale	MigsBa	M		True
env_medium	MigsBa	M		True
num_replicons	MigsBa	M		True
ref_biomaterial	MigsBa	M		True
isol_growth_condt	MigsBa	M		True
seq_meth	MigsBa	M		True
assembly_qual	MigsBa	M		True
assembly_software	MigsBa	M		True
number_contig	MigsBa	M		True
samp_name	MigsEu	M		True
samp_taxon_id	MigsEu	M		True
project_name	MigsEu	M		True
lat_lon	MigsEu	M		True
geo_loc_name	MigsEu	M		True
collection_date	MigsEu	M		True
env_broad_scale	MigsEu	M		True
env_local_scale	MigsEu	M		True
env_medium	MigsEu	M		True
isol_growth_condt	MigsEu	M		True
seq_meth	MigsEu	M		True
assembly_qual	MigsEu	M		True
assembly_software	MigsEu	M		True
number_contig	MigsEu	M		True
samp_name	MigsOrg	M		True
samp_taxon_id	MigsOrg	M		True
project_name	MigsOrg	M		True
lat_lon	MigsOrg	M		True
geo_loc_name	MigsOrg	M		True
collection_date	MigsOrg	M		True
env_broad_scale	MigsOrg	M		True
env_local_scale	MigsOrg	M		True
env_medium	MigsOrg	M		True
isol_growth_condt	MigsOrg	M		True
seq_meth	MigsOrg	M		True
assembly_software	MigsOrg	M		True
samp_name	MigsPl	M		True
samp_taxon_id	MigsPl	M		True
project_name	MigsPl	M		True
lat_lon	MigsPl	M		True
geo_loc_name	MigsPl	M		True
collection_date	MigsPl	M		True
env_broad_scale	MigsPl	M		True
env_local_scale	MigsPl	M		True
env_medium	MigsPl	M		True
propagation	MigsPl	M		True
isol_growth_condt	MigsPl	M		True
seq_meth	MigsPl	M		True
assembly_software	MigsPl	M		True
samp_name	MigsVi	M		True
samp_taxon_id	MigsVi	M		True
project_name	MigsVi	M		True
lat_lon	MigsVi	M		True
geo_loc_name	MigsVi	M		True
