class	tree_root	slot	range	multivalued	inlined_as_list	description
> class	tree_root	slot	range	multivalued	inlined_as_list	description
Database		migs_ba_plant_associated_set				
Database		migs_ba_sediment_set				
Database		migs_ba_set				
Database		migs_ba_soil_set				
Database		migs_ba_water_set				
Database		mims_plant_associated_set				
Database		mims_sediment_set				
Database		mims_soil_set				
Database		mims_water_set				
Database	TRUE					placeholder description; linter will ignore this
		migs_ba_plant_associated_set	MigsBaPlantAssociated	TRUE	TRUE	placeholder description; linter will ignore this
		migs_ba_sediment_set	MigsBaSediment	TRUE	TRUE	placeholder description; linter will ignore this
		migs_ba_set	MigsBa	TRUE	TRUE	placeholder description; linter will ignore this
		migs_ba_soil_set	MigsBaSoil	TRUE	TRUE	placeholder description; linter will ignore this
		migs_ba_water_set	MigsBaWater	TRUE	TRUE	placeholder description; linter will ignore this
		mims_plant_associated_set	MimsPlantAssociated	TRUE	TRUE	placeholder description; linter will ignore this
		mims_sediment_set	MimsSediment	TRUE	TRUE	placeholder description; linter will ignore this
		mims_soil_set	MimsSoil	TRUE	TRUE	placeholder description; linter will ignore this
		mims_water_set	MimsWater	TRUE	TRUE	placeholder description; linter will ignore this
