class,slot,slot_uri,slot notes,instance notes,scn token inconsistencies,sheet,MIXS ID,Environmental package,Structured comment name,Item (rdfs:label) / Package item,Definition,Expected value,Value syntax,Example,Section,Requirement,migs_eu,migs_ba,migs_pl,migs_vi,migs_org,mims,mimarks_s,mimarks_c,misag,mimag,miuvig,Preferred unit,Occurence/Occurrence,,,,,,
Checklist,16s_recover,,slot OK except for digits first name,,,MixS,MIXS:0000065,,16s_recover,16S recovered,Can a 16S gene be recovered from the submitted SAG or MAG?,boolean,{boolean},yes,sequencing,,-,-,-,-,-,-,-,-,X,X,-,,1,,,,,,
Checklist,16s_recover_software,,slot OK except for digits first name,,,MixS,MIXS:0000066,,16s_recover_software,16S recovery software,Tools used for 16S rRNA gene extraction,names and versions of software(s), parameters used,{software};{version};{parameters},rambl;v2;default parameters,sequencing,,-,-,-,-,-,-,-,-,X,X,-,,1,,,,,
Checklist,associated resource,,Checklist says MIXS:0000091 = _associated resource_ note whitespace in SCN. Agriculture says MIXS:0000091 = _url _. Neither found as names or synonyms at https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/,,,MixS,MIXS:0000091,,associated resource,relevant electronic resources,A related resource that is referenced, cited, or otherwise associated to the sequence. ,reference to resource,{PMID} | {DOI} | {URL},http://www.earthmicrobiome.org/,sequencing,,C,C,C,C,C,C,C,C,C,C,C,,m,,,,
Checklist,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,MixS,MIXS:0000018,,depth,depth,The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,environment,,E,E,E,E,E,E,E,E,E,E,E,,1,,,,
FoodFarmEnvironment,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,food-farm environment,depth,depth,The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,M,,,,,,,,,,,,meter,1,,,,
HostAssociated,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,host-associated,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,C,,,,,,,,,,,,meter,1,,,,
MicrobialMatBiofilm,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,microbial mat/biofilm,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,C,,,,,,,,,,,,meter,1,,,,
MiscellaneousNaturalOrArtificialEnvironment,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,miscellaneous natural or artificial environment,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,C,,,,,,,,,,,,meter,1,,,,
PlantAssociated,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,plant-associated,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,C,,,,,,,,,,,,meter,1,,,,
Sediment,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,sediment,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,M,,,,,,,,,,,,meter,1,,,,
Soil,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,soil,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,M,,,,,,,,,,,,meter,1,,,,
SymbiontAssociated,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,symbiont-associated,depth,depth,The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,C,,,,,,,,,,,,meter,1,,,,
WastewaterSludge,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,wastewater/sludge,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,C,,,,,,,,,,,,meter,1,,,,
Water,depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,water,depth,depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,measurement value,{float} {unit},10 meter,,M,,,,,,,,,,,,meter,1,,,,
Agriculture,horizon,,Agriculture says MIXS:0001082 = _horizon_ and MIXS:0001291 = _soil_horizon_. Soil says MIXS:0001082 = _soil_horizon_. https://www.ncbi.nlmsoil_horizon.nih.gov/biosample/docs/attributes/ only acknowledges soil_horizon,,,environmental_packages,MIXS:0001082,agriculture,horizon,horizon,Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath,enumeration,[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost],,,C,,,,,,,,,,,,,1,,,,,,
HostAssociated,host_body_product,,six packages say MIXS:0000888. MIXS:0000868 is not associated with any other SCN in any other package,,,environmental_packages,MIXS:0000888,host-associated,host_body_product,host body product,Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon,FMA or UBERON,{termLabel} {[termID]},Portion of mucus [fma66938],,X,,,,,,,,,,,,,1,,
HumanAssociated,host_body_product,,six packages say MIXS:0000888. MIXS:0000868 is not associated with any other SCN in any other package,,,environmental_packages,MIXS:0000888,human-associated,host_body_product,host body product,Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon,FMA or UBERON,{termLabel} {[termID]},Portion of mucus [fma66938],,X,,,,,,,,,,,,,1,,
HumanGut,host_body_product,,six packages say MIXS:0000888. MIXS:0000868 is not associated with any other SCN in any other package,,,environmental_packages,MIXS:0000888,human-gut,host_body_product,host body product,Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon,FMA or UBERON,{termLabel} {[termID]},Portion of mucus [fma66938],,X,,,,,,,,,,,,,1,,
HumanOral,host_body_product,,six packages say MIXS:0000888. MIXS:0000868 is not associated with any other SCN in any other package,,,environmental_packages,MIXS:0000888,human-oral,host_body_product,host body product,Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon,FMA or UBERON,{termLabel} {[termID]},Portion of mucus [fma66938],,X,,,,,,,,,,,,,1,,
HumanSkin,host_body_product,,six packages say MIXS:0000888. MIXS:0000868 is not associated with any other SCN in any other package,,,environmental_packages,MIXS:0000888,human-skin,host_body_product,host body product,Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon,FMA or UBERON,{termLabel} {[termID]},Portion of mucus [fma66938],,X,,,,,,,,,,,,,1,,
HumanVaginal,host_body_product,,six packages say MIXS:0000888. MIXS:0000868 is not associated with any other SCN in any other package,,,environmental_packages,MIXS:0000888,human-vaginal,host_body_product,host body product,Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon,FMA or UBERON,{termLabel} {[termID]},Portion of mucus [fma66938],,X,,,,,,,,,,,,,1,,
SymbiontAssociated,host_body_product,,six packages say MIXS:0000888. MIXS:0000868 is not associated with any other SCN in any other package,,,environmental_packages,MIXS:0000868,symbiont-associated,host_body_product,host body product,Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon.,body substance of the symbiotic organism (host of the samples) where the samples was obtained from; FMA or UBERON,{termLabel} {[termID]},Portion of mucus [fma66938],,X,,,,,,,,,,,,,1,,
HostAssociated,host_family_relation,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and SymbiontAssociated say  host_family_relationship,,,environmental_packages,MIXS:0000872,host-associated,host_family_relation,host family relationship,Familial relationships to other hosts in the same study; can include multiple relationships,relationship type;arbitrary identifier,{text};{text},offspring;Mussel25,,X,,,,,,,,,,,,,m,,,,,,
HumanAssociated,host_family_relation,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and SymbiontAssociated say  host_family_relationship,,,environmental_packages,MIXS:0000872,human-associated,host_family_relation,host family relationship,Relationships to other hosts in the same study; can include multiple relationships,relationship type;arbitrary identifier,{text};{text},mother;ID298,,X,,,,,,,,,,,,,m,,,,,,
HumanGut,host_family_relation,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and SymbiontAssociated say  host_family_relationship,,,environmental_packages,MIXS:0000872,human-gut,host_family_relation,host family relationship,Relationships to other hosts in the same study; can include multiple relationships,relationship type;arbitrary identifier,{text};{text},mother;ID298,,X,,,,,,,,,,,,,m,,,,,,
HumanOral,host_family_relation,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and SymbiontAssociated say  host_family_relationship,,,environmental_packages,MIXS:0000872,human-oral,host_family_relation,host family relationship,Relationships to other hosts in the same study; can include multiple relationships,relationship type;arbitrary identifier,{text};{text},mother;ID298,,X,,,,,,,,,,,,,m,,,,,,
HumanSkin,host_family_relation,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and SymbiontAssociated say  host_family_relationship,,,environmental_packages,MIXS:0000872,human-skin,host_family_relation,host family relationship,Relationships to other hosts in the same study; can include multiple relationships,relationship type;arbitrary identifier,{text};{text},mother;ID298,,X,,,,,,,,,,,,,m,,,,,,
HumanVaginal,host_family_relation,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and SymbiontAssociated say  host_family_relationship,,,environmental_packages,MIXS:0000872,human-vaginal,host_family_relation,host family relationship,Relationships to other hosts in the same study; can include multiple relationships,relationship type;arbitrary identifier,{text};{text},mother;ID298,,X,,,,,,,,,,,,,m,,,,,,
SymbiontAssociated,host_family_relationship,MIXS:0000872,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and SymbiontAssociated say  host_family_relationship,,,environmental_packages,MIXS:0000872,symbiont-associated,host_family_relationship,host family relationship,Relationships to other hosts in the same study; can include multiple relationships.,Relationships to other symbiotic organisms (host od samples) in the same study; relationship type;arbitrary identifier,{text};{text},clone;P15,,X,,,,,,,,,,,,,1,,,,,,
HostAssociated,host_sex,,6 packages say MIXS:0000811. No other SCN in any other package uses MIXS:0000862,,,environmental_packages,MIXS:0000811,host-associated,host_sex,host sex,Gender or physical sex of the host.,enumeration,"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]",non-binary,,X,,,,,,,,,,,,,1,,,,,,
HumanAssociated,host_sex,,6 packages say MIXS:0000811. No other SCN in any other package uses MIXS:0000862,,,environmental_packages,MIXS:0000811,human-associated,host_sex,host sex,Gender or physical sex of the host.,enumeration,"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]",non-binary,,X,,,,,,,,,,,,,1,,,,,,
HumanGut,host_sex,,6 packages say MIXS:0000811. No other SCN in any other package uses MIXS:0000862,,,environmental_packages,MIXS:0000811,human-gut,host_sex,host sex,Gender or physical sex of the host.,enumeration,"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]",non-binary,,X,,,,,,,,,,,,,1,,,,,,
HumanOral,host_sex,,6 packages say MIXS:0000811. No other SCN in any other package uses MIXS:0000862,,,environmental_packages,MIXS:0000811,human-oral,host_sex,host sex,Gender or physical sex of the host.,enumeration,"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]",non-binary,,X,,,,,,,,,,,,,1,,,,,,
HumanSkin,host_sex,,6 packages say MIXS:0000811. No other SCN in any other package uses MIXS:0000862,,,environmental_packages,MIXS:0000811,human-skin,host_sex,host sex,Gender or physical sex of the host.,enumeration,"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]",non-binary,,X,,,,,,,,,,,,,1,,,,,,
HumanVaginal,host_sex,,6 packages say MIXS:0000811. No other SCN in any other package uses MIXS:0000862,,,environmental_packages,MIXS:0000811,human-vaginal,host_sex,host sex,Gender or physical sex of the host.,enumeration,"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]",non-binary,,X,,,,,,,,,,,,,1,,,,,,
SymbiontAssociated,host_sex,,6 packages say MIXS:0000811. No other SCN in any other package uses MIXS:0000862,,,environmental_packages,MIXS:0000862,symbiont-associated,host_sex,host sex,Physical sex of the host.,sex of the symbiotic organism (host of the samples); enumeration,[female|hermaphrodite|male|neuter],,,X,,,,,,,,,,,,,1,,,,,,
Agriculture,host_symbiont,,7 packages say MIXS:0001298. Only SymbiontAssociated and Agriculture use MIXS:0001309 (for any SCN),,,environmental_packages,MIXS:0001309,agriculture,host_symbiont,observed host symbionts,The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. For cases when the specific host of the sample is a symbiont this field should refer to other organisms it is associated with. E.g.: hyperparasite species X (parasite of the parasite).,symbionts of the symbiotic organism (host of the samples). e.g.: annotating a sample collected from a trematode with a nematomorpha cyst consider: species name of the nematomorph; {species name} or {common name},{text},Paragordius varius,,X,,,,,,,,,,,,,1,,,,
