env_1	env_2	raw	normalized
	wastewater/sludge	1.0225563909774436	0.060150375939849475
	agriculture	1.1040723981900453	0.2775263951734542
	human-oral	1.0232558139534884	0.0620155038759691
	human-vaginal	1.0217391304347827	0.05797101449275388
	host-associated	1.0357142857142858	0.0952380952380955
	symbiont-associated	1.0769230769230769	0.20512820512820498
	soil	1.0266666666666666	0.07111111111111097
	food-human foods	1.0463917525773196	0.12371134020618572
	air	1.024793388429752	0.06611570247933862
	human-skin	1.023076923076923	0.06153846153846132
	miscellaneous natural or artificial environment	1.0364963503649636	0.09732360097323618
	water	1.0225988700564972	0.060263653483992506
	food-food production facility	1.064516129032258	0.17204301075268802
	food-animal and animal feed	1.0702702702702702	0.18738738738738725
	hydrocarbon resources-fluids/swabs	1.011111111111111	0.029629629629629523
	human-gut	1.023076923076923	0.06153846153846132
	hydrocarbon resources-cores	1.0171428571428571	0.04571428571428567
	human-associated	1.0205479452054795	0.054794520547945424
	microbial mat/biofilm	1.0256410256410255	0.06837606837606813
	food-farm environment	1.048888888888889	0.1303703703703706
	plant-associated	1.0301204819277108	0.08032128514056207
	built environment	1.003875968992248	0.010335917312661516
	sediment	1.0246913580246915	0.06584362139917725
wastewater/sludge	agriculture	1.0423280423280423	0.1128747795414462
wastewater/sludge	human-oral	1.0	0.0
wastewater/sludge	human-vaginal	1.0	0.0
wastewater/sludge	host-associated	1.0	0.0
wastewater/sludge	symbiont-associated	1.121212121212121	0.3232323232323229
wastewater/sludge	soil	1.0	0.0
wastewater/sludge	food-human foods	1.0492957746478873	0.13145539906103268
wastewater/sludge	air	1.0	0.0
wastewater/sludge	human-skin	1.0	0.0
wastewater/sludge	miscellaneous natural or artificial environment	1.0	0.0
wastewater/sludge	water	1.0095238095238095	0.025396825396825307
wastewater/sludge	food-food production facility	1.036764705882353	0.09803921568627476
wastewater/sludge	food-animal and animal feed	1.0676691729323309	0.180451127819549
wastewater/sludge	hydrocarbon resources-fluids/swabs	1.0	0.0
wastewater/sludge	human-gut	1.0	0.0
wastewater/sludge	hydrocarbon resources-cores	1.0	0.0
wastewater/sludge	human-associated	1.0	0.0
wastewater/sludge	microbial mat/biofilm	1.0	0.0
wastewater/sludge	food-farm environment	1.0588235294117647	0.15686274509803924
wastewater/sludge	plant-associated	1.0	0.0
wastewater/sludge	built environment	1.0	0.0
wastewater/sludge	sediment	1.0	0.0
agriculture	human-oral	1.0441988950276244	0.11786372007366512
agriculture	human-vaginal	1.0421052631578946	0.11228070175438572
agriculture	host-associated	1.0702702702702702	0.18738738738738725
agriculture	symbiont-associated	1.105263157894737	0.2807017543859652
agriculture	soil	1.1445086705202312	0.3853564547206165
agriculture	food-human foods	1.0772357723577235	0.205962059620596
agriculture	air	1.0508474576271187	0.13559322033898327
agriculture	human-skin	1.043956043956044	0.1172161172161174
agriculture	miscellaneous natural or artificial environment	1.041025641025641	0.10940170940170961
agriculture	water	1.0344827586206897	0.09195402298850593
agriculture	food-food production facility	1.070539419087137	0.1881051175656984
agriculture	food-animal and animal feed	1.0756302521008403	0.20168067226890743
agriculture	hydrocarbon resources-fluids/swabs	1.0209205020920502	0.05578800557880056
agriculture	human-gut	1.043956043956044	0.1172161172161174
agriculture	hydrocarbon resources-cores	1.0300429184549356	0.0801144492131615
agriculture	human-associated	1.0454545454545454	0.1212121212121211
agriculture	microbial mat/biofilm	1.0476190476190477	0.12698412698412712
agriculture	food-farm environment	1.2456140350877194	0.6549707602339184
agriculture	plant-associated	1.1354166666666667	0.3611111111111113
agriculture	built environment	1.00625	0.016666666666666902
agriculture	sediment	1.0511627906976744	0.13643410852713167
human-oral	human-vaginal	1.0212765957446808	0.05673758865248205
human-oral	host-associated	1.0517241379310345	0.1379310344827586
human-oral	symbiont-associated	1.2159090909090908	0.5757575757575756
human-oral	soil	1.0	0.0
human-oral	food-human foods	1.0507246376811594	0.1352657004830918
human-oral	air	1.0	0.0
human-oral	human-skin	1.0256410256410255	0.06837606837606813
human-oral	miscellaneous natural or artificial environment	1.0	0.0
human-oral	water	1.0092592592592593	0.024691358024691468
human-oral	food-food production facility	1.0378787878787878	0.10101010101010093
human-oral	food-animal and animal feed	1.069767441860465	0.18604651162790672
human-oral	hydrocarbon resources-fluids/swabs	1.0	0.0
human-oral	human-gut	1.0256410256410255	0.06837606837606813
human-oral	hydrocarbon resources-cores	1.0	0.0
