Environmental package	raw	normalized
	1.034963826377335	0.09323687033956041
food-animal and animal feed	1.0621726799054663	0.16579381308124355
human-vaginal	1.0279618087224112	0.07456482325976233
agriculture	1.068386982269249	0.18236528605133018
hydrocarbon resources-cores	1.0125622003676547	0.03349920098041192
sediment	1.0173756697925564	0.046335119446817015
human-skin	1.0297241527809615	0.07926440741589703
wastewater/sludge	1.017746675952859	0.04732446920762346
human-oral	1.0305154915119088	0.08137464403175666
microbial mat/biofilm	1.0178269707454928	0.04753858865464795
symbiont-associated	1.1315392217607987	0.3507712580287959
human-gut	1.0297241527809615	0.07926440741589703
built environment	1.003248204780674	0.008661879415131045
water	1.021027002267836	0.05607200604756208
plant-associated	1.0343937947109696	0.09171678589591871
soil	1.0176813454606084	0.04715025456162237
host-associated	1.0493601130671306	0.13162696817901495
food-human foods	1.0486340995936039	0.12969093224961004
human-associated	1.0291267062424705	0.0776712166465871
food-food production facility	1.0423658630483152	0.11297563479550692
hydrocarbon resources-fluids/swabs	1.0113644363148169	0.03030516350617802
miscellaneous natural or artificial environment	1.0193832105778724	0.05168856154099302
air	1.023128956686502	0.06167721783067269
food-farm environment	1.0793556482412745	0.21161506197673194
